candidate_id,rank,score,reasoning
CAND_0046064,1,0.9759,"8.9 YoE Senior NLP Engineer with experience in python, opensearch, pinecone, elasticsearch. Previously at Salesforce & Verloop.io. Highly active with quick 30-day notice."
CAND_0071974,2,0.9594,"7.8 YoE Senior AI Engineer with experience in lora, weaviate, qdrant, pinecone. Previously at Netflix & Meta. Strong engagement history with recruiters."
CAND_0086022,3,0.959,"5.3 YoE Senior Applied Scientist with experience in nlp, lora, pinecone, elasticsearch. Previously at Sarvam AI & Uber. Highly active with quick 0-day notice."
CAND_0002025,4,0.9584,"5.9 YoE Senior AI Engineer with experience in nlp, faiss, weaviate, python. Previously at Apple & Aganitha. Highly active with quick 30-day notice."
CAND_0041669,5,0.9578,"8.0 YoE Recommendation Systems Engineer with experience in faiss, weaviate, qdrant, milvus. Previously at CRED & Mad Street Den. Strong engagement history with recruiters."
CAND_0011687,6,0.9531,"7.8 YoE Senior NLP Engineer with experience in faiss, weaviate, opensearch, peft. Previously at Niramai & Krutrim. Highly active with quick 15-day notice."
CAND_0037944,7,0.9462,"4.9 YoE Senior Data Scientist with experience in nlp, python, opensearch, qlora. Previously at Vedantu & PolicyBazaar. 30-day notice period."
CAND_0088025,8,0.9453,"8.6 YoE Staff Machine Learning Engineer with experience in nlp, lora, python, pinecone. Previously at Yellow.ai & Niramai. Strong engagement history with recruiters."
CAND_0007009,9,0.9384,"7.9 YoE Recommendation Systems Engineer with experience in lora, weaviate, python, opensearch. Previously at Wysa & PolicyBazaar. Highly active with quick 30-day notice."
CAND_0077337,10,0.9383,"7.0 YoE Staff Machine Learning Engineer with experience in python, qdrant, opensearch, pinecone. Previously at Paytm & Razorpay. Strong engagement history with recruiters."
CAND_0068811,11,0.9382,"8.0 YoE Applied ML Engineer with experience in weaviate, qdrant, opensearch, pinecone. Previously at Freshworks & Yellow.ai. 30-day notice period."
CAND_0044855,12,0.9369,"6.6 YoE Senior Data Scientist with experience in nlp, qdrant, opensearch, pinecone. Previously at Flipkart & LinkedIn. 60-day notice period."
CAND_0018499,13,0.9344,"7.2 YoE Senior Machine Learning Engineer with experience in weaviate, milvus, pinecone, qlora. Previously at Zomato & Google. Highly active with quick 15-day notice."
CAND_0040887,14,0.9287,"4.7 YoE Machine Learning Engineer with experience in faiss, lora, python, milvus. Previously at Netflix & Unacademy. Highly active with quick 15-day notice."
CAND_0037566,15,0.9213,"6.9 YoE Machine Learning Engineer with experience in nlp, lora, pinecone, elasticsearch. Previously at LinkedIn & Paytm. 15-day notice period."
CAND_0033861,16,0.9193,"8.0 YoE Senior NLP Engineer with experience in lora, weaviate, qdrant, milvus. Previously at Mad Street Den & Sarvam AI. 30-day notice period."
CAND_0042029,17,0.918,"6.5 YoE Senior Data Scientist with experience in nlp, weaviate, opensearch, elasticsearch. Previously at Flipkart & Observe.AI. Strong engagement history with recruiters."
CAND_0077285,18,0.9169,"5.5 YoE Recommendation Systems Engineer with experience in nlp, lora, faiss, milvus. Previously at Nykaa & Netflix. 60-day notice period."
CAND_0083307,19,0.9158,"7.8 YoE Search Engineer with experience in weaviate, python, pinecone, qlora. Previously at CRED & Netflix. Strong engagement history with recruiters."
CAND_0052328,20,0.9121,"6.5 YoE Recommendation Systems Engineer with experience in opensearch, lora, qlora, python. Previously at Amazon & Observe.AI. Highly active with quick 30-day notice."
CAND_0079387,21,0.911,"6.9 YoE AI Engineer with experience in opensearch, lora, qlora, python. Previously at Microsoft & upGrad. Highly active with quick 30-day notice."
CAND_0081686,22,0.9057,"6.0 YoE Search Engineer with experience in faiss, python, milvus, qlora. Previously at Netflix & Niramai. Strong engagement history with recruiters."
CAND_0026532,23,0.9041,"4.8 YoE Recommendation Systems Engineer with experience in faiss, lora, milvus, pinecone. Previously at Zomato & Mad Street Den. 90-day notice period."
CAND_0055905,24,0.9029,"8.1 YoE Senior Machine Learning Engineer with experience in opensearch, embeddings, python, elasticsearch. Previously at Flipkart & Uber. Highly active with quick 30-day notice."
CAND_0064326,25,0.9028,"7.6 YoE Search Engineer with experience in milvus, qlora, weaviate, python. Previously at Sarvam AI & Aganitha. Strong engagement history with recruiters."
CAND_0020877,26,0.8997,"5.1 YoE Applied ML Engineer with experience in weaviate, qdrant, opensearch, milvus. Previously at CRED & BYJU'S. Strong engagement history with recruiters."
CAND_0081846,27,0.8985,"6.7 YoE Lead AI Engineer with experience in embeddings, python, qdrant, elasticsearch. Previously at Razorpay & Paytm. Highly active with quick 30-day notice."
CAND_0086151,28,0.8979,"7.7 YoE Recommendation Systems Engineer with experience in lora, qdrant, opensearch, elasticsearch. Previously at Wysa & Glance. 120-day notice period."
CAND_0006557,29,0.8964,"7.9 YoE NLP Engineer with experience in faiss, lora, weaviate, qdrant. Previously at Paytm & Apple. Strong engagement history with recruiters."
CAND_0053591,30,0.8953,"5.3 YoE AI Engineer with experience in milvus, embeddings, opensearch, qdrant. Previously at Ola & Swiggy. Strong engagement history with recruiters."
CAND_0018549,31,0.8933,"6.8 YoE Recommendation Systems Engineer with experience in weaviate, qdrant, milvus, opensearch. Previously at Uber & Flipkart. Strong engagement history with recruiters."
